month,year,gross_sales_mln
September,2019,"4.50 M"
October,2019,"5.14 M"
November,2019,"7.52 M"
December,2019,"4.83 M"
January,2020,"4.74 M"
February,2020,"4.00 M"
March,2020,"0.38 M"
April,2020,"0.40 M"
May,2020,"0.78 M"
June,2020,"1.70 M"
July,2020,"2.55 M"
August,2020,"2.79 M"
September,2020,"12.35 M"
October,2020,"13.22 M"
November,2020,"20.46 M"
December,2020,"12.94 M"
January,2021,"12.40 M"
February,2021,"10.13 M"
March,2021,"12.14 M"
April,2021,"7.31 M"
May,2021,"12.15 M"
June,2021,"9.82 M"
July,2021,"12.09 M"
August,2021,"7.18 M"
